DATE;Holiday;Temperature;Solar_Irradiation;Power;DATE_YYYY_MM_DD;DATE_year;DATE_month_year;DATE_week_year;DATE_day_year;DATE_day_month;DATE_day_week;DATE_hour_year;DATE_hour_week;DATE_hour_day;DATE_weekday;slope_Temp;slope_Irrad;intercept;minimum;Power_fitted;Power_residuals;IS_Outlier
2019-06-18 03:00:00+00:00;True;12.3;21.78;5.2;2019-06-18;2019;6;25;169;18;1;4035;27;3;True;-2.3264890354261567;-0.0844595634464447;32.60176658124488;3.1756865294244654;3.1756865294244654;-2.024313470575535;False
2019-06-18 04:00:00+00:00;True;12.55;90.98;0.0;2019-06-18;2019;6;25;169;18;1;4036;28;4;True;-2.0711527792786546;-0.1763466011526905;31.183362268285187;0.159337032810348;0.159337032810348;0.159337032810348;False
2019-06-18 05:00:00+00:00;True;13.73;203.2;6.5;2019-06-18;2019;6;25;169;18;1;4037;29;5;True;-1.7998632338700156;-0.1616139157594321;33.7742064878792;0.408025257291226;0.408025257291226;-6.091974742708774;False
2019-06-18 06:00:00+00:00;True;15.71;322.36;6.8;2019-06-18;2019;6;25;169;18;1;4038;30;6;True;-2.184618968828604;-0.0173960722620809;31.72475620383276;0.8269620326906095;0.8269620326906095;-5.9730379673093905;False
2019-06-18 07:00:00+00:00;True;17.15;464.28;0.1;2019-06-18;2019;6;25;169;18;1;4039;31;7;True;-2.527411060705381;-0.0488564964795689;42.93946732086109;0.3137806145930537;0.3137806145930537;0.21378061459305367;False
2019-06-18 08:00:00+00:00;True;18.35;600.32;0.0;2019-06-18;2019;6;25;169;18;1;4040;32;8;True;-2.4919174334741365;-0.0075457226495384;47.30286699490596;1.2253857176223533;1.2253857176223533;1.2253857176223533;False
2019-06-18 09:00:00+00:00;True;19.31;711.46;1.0;2019-06-18;2019;6;25;169;18;1;4041;33;9;True;-6.50709751397559;-0.0221804965061742;127.67558472034584;0.9451562478145336;0.9451562478145336;-0.05484375218546644;False
2019-06-18 10:00:00+00:00;True;20.34;793.5;0.0;2019-06-18;2019;6;25;169;18;1;4042;34;10;True;-6.464895843571526;-0.0152469643093649;124.11631356072624;2.452330673414622;2.452330673414622;2.452330673414622;False
2019-06-18 11:00:00+00:00;True;21.27;844.9;0.1;2019-06-18;2019;6;25;169;18;1;4043;35;11;True;-6.049622940532909;-0.0403361065336953;127.29416129597952;0.747890721417701;0.747890721417701;0.647890721417701;False
2019-06-18 12:00:00+00:00;True;22.19;837.66;10.2;2019-06-18;2019;6;25;169;18;1;4044;36;12;True;-6.1822721597939845;-0.0164843491686766;119.08507836843836;7.415123380790834;7.415123380790834;-2.7848766192091654;False
